Size,ArrayType,Algorithm,TimeMs,Comparisons
1700,Common_Prefix,TernaryQuickSort,0.0884,78769
1700,Common_Prefix,StringMergeSort,1.1197,279844
1700,Common_Prefix,MSDRadix,0.2278,0
1700,Common_Prefix,MSDRadix_Fallback,0.1423,9506
1800,Random,MergeSort,1.0638,23901
1800,Random,QuickSort,0.1375,29941
1800,Random,TernaryQuickSort,0.0820,31248
1800,Random,StringMergeSort,1.0537,58343
1800,Random,MSDRadix,0.1393,0
1800,Random,MSDRadix_Fallback,0.0420,10354
1800,Reverse_Sorted,MergeSort,0.9329,14852
1800,Reverse_Sorted,QuickSort,2.0142,1654660
1800,Reverse_Sorted,TernaryQuickSort,0.0803,64318
1800,Reverse_Sorted,StringMergeSort,0.9642,33868
1800,Reverse_Sorted,MSDRadix,0.1617,0
1800,Reverse_Sorted,MSDRadix_Fallback,0.0538,28357
1800,Nearly_Sorted,MergeSort,0.9586,23142
1800,Nearly_Sorted,QuickSort,0.1650,87138
1800,Nearly_Sorted,TernaryQuickSort,0.0924,89112
1800,Nearly_Sorted,StringMergeSort,0.9908,55336
1800,Nearly_Sorted,MSDRadix,0.1619,0
1800,Nearly_Sorted,MSDRadix_Fallback,0.0377,16933
1800,Common_Prefix,MergeSort,1.1830,264735
1800,Common_Prefix,QuickSort,0.2375,323544
1800,Common_Prefix,TernaryQuickSort,0.1011,79800
1800,Common_Prefix,StringMergeSort,1.2121,298673
1800,Common_Prefix,MSDRadix,0.2475,0
1800,Common_Prefix,MSDRadix_Fallback,0.1540,10131
1900,Random,MergeSort,1.1285,25557
1900,Random,QuickSort,0.1489,32631
1900,Random,TernaryQuickSort,0.0887,34770
1900,Random,StringMergeSort,1.1455,62243
1900,Random,MSDRadix,0.1445,0
1900,Random,MSDRadix_Fallback,0.0459,11288
1900,Reverse_Sorted,MergeSort,1.0288,15848
1900,Reverse_Sorted,QuickSort,2.2414,1841277
1900,Reverse_Sorted,TernaryQuickSort,0.0857,70838
1900,Reverse_Sorted,StringMergeSort,1.0203,36136
1900,Reverse_Sorted,MSDRadix,0.1700,0
1900,Reverse_Sorted,MSDRadix_Fallback,0.0576,29760
1900,Nearly_Sorted,MergeSort,1.0337,24571
1900,Nearly_Sorted,QuickSort,0.1572,76093
1900,Nearly_Sorted,TernaryQuickSort,0.0874,80871
1900,Nearly_Sorted,StringMergeSort,1.0538,58755
1900,Nearly_Sorted,MSDRadix,0.1739,0
1900,Nearly_Sorted,MSDRadix_Fallback,0.0403,17930
1900,Common_Prefix,MergeSort,1.2659,282134
1900,Common_Prefix,QuickSort,0.2586,351575
1900,Common_Prefix,TernaryQuickSort,0.1044,84275
1900,Common_Prefix,StringMergeSort,1.2841,318310
1900,Common_Prefix,MSDRadix,0.2694,0
1900,Common_Prefix,MSDRadix_Fallback,0.1615,10999
2000,Random,MergeSort,1.2114,27188
2000,Random,QuickSort,0.1567,34521
2000,Random,TernaryQuickSort,0.0915,36965
2000,Random,StringMergeSort,1.1792,66036
2000,Random,MSDRadix,0.1680,0
2000,Random,MSDRadix_Fallback,0.0502,12033
2000,Reverse_Sorted,MergeSort,1.0653,16971
2000,Reverse_Sorted,QuickSort,2.5077,2038521
2000,Reverse_Sorted,TernaryQuickSort,0.0910,75358
2000,Reverse_Sorted,StringMergeSort,1.1034,38699
2000,Reverse_Sorted,MSDRadix,0.1863,0
2000,Reverse_Sorted,MSDRadix_Fallback,0.0651,31519
2000,Nearly_Sorted,MergeSort,1.1359,25655
2000,Nearly_Sorted,QuickSort,0.1438,64416
2000,Nearly_Sorted,TernaryQuickSort,0.0986,90206
2000,Nearly_Sorted,StringMergeSort,1.1650,61541
2000,Nearly_Sorted,MSDRadix,0.1823,0
2000,Nearly_Sorted,MSDRadix_Fallback,0.0434,18856
2000,Common_Prefix,MergeSort,1.4518,299025
2000,Common_Prefix,QuickSort,0.2966,440173
2000,Common_Prefix,TernaryQuickSort,0.1118,89275
2000,Common_Prefix,StringMergeSort,1.4757,337381
2000,Common_Prefix,MSDRadix,0.2807,0
2000,Common_Prefix,MSDRadix_Fallback,0.1745,11821
2100,Random,MergeSort,1.3666,28816
2100,Random,QuickSort,0.1652,36300
2100,Random,TernaryQuickSort,0.0947,38329
2100,Random,StringMergeSort,1.3976,69896
2100,Random,MSDRadix,0.1680,0
2100,Random,MSDRadix_Fallback,0.0534,12725
2100,Reverse_Sorted,MergeSort,1.1793,17819
2100,Reverse_Sorted,QuickSort,2.9037,2245917
